Elfrid Payton\paytoel01,PG,26,NYK,34,34,28.1,5.2,12.0,.437,0.5,1.9,.250,4.8,10.1,.472,.457,1.6,2.2,.737,1.3,2.5,3.8,3.7,0.7,0.2,1.8,1.9,12.6
P.J. Washington\washipj01,PF,22,CHO,33,33,29.3,4.4,9.8,.451,1.4,3.6,.390,3.0,6.2,.485,.522,2.4,3.0,.798,1.5,4.9,6.4,2.9,1.1,1.2,2.2,2.7,12.6
Immanuel Quickley\quickim01,PG,21,NYK,35,0,19.3,3.9,9.8,.395,1.9,4.9,.380,2.0,4.9,.409,.490,3.0,3.2,.920,0.5,1.9,2.3,2.4,0.5,0.3,1.0,2.0,12.5
Luguentz Dort\dortlu01,SG,21,OKC,37,37,29.7,4.2,10.9,.386,1.9,5.9,.329,2.2,4.9,.454,.475,2.1,2.7,.780,0.7,2.9,3.6,1.6,0.8,0.3,1.5,2.4,12.4
Lou Williams\willilo02,PG,34,LAC,37,3,22.2,4.4,10.4,.427,1.1,2.7,.396,3.4,7.6,.438,.479,2.4,2.9,.849,0.4,1.9,2.3,3.6,0.9,0.1,1.6,1.0,12.4
Will Barton\bartowi01,SF,30,DEN,35,31,30.1,4.7,10.5,.448,1.7,4.3,.403,3.0,6.2,.479,.530,1.1,1.5,.750,0.6,3.4,4.0,3.1,0.8,0.4,1.7,1.6,12.2
Brandon Clarke\clarkbr01,PF,24,MEM,30,16,26.9,5.1,9.9,.520,0.6,1.7,.333,4.6,8.2,.559,.549,1.4,2.0,.672,1.6,4.2,5.8,1.6,1.2,0.8,0.6,1.6,12.2
Kevin Huerter\huertke01,SG,22,ATL,39,28,31.8,4.6,10.7,.428,2.2,5.8,.368,2.4,4.9,.500,.529,0.8,1.0,.842,0.7,2.9,3.6,3.6,1.3,0.3,1.2,2.5,12.2
Thaddeus Young\youngth01,PF,32,CHI,33,1,25.0,5.6,9.3,.601,0.2,0.7,.227,5.4,8.6,.630,.609,0.8,1.5,.531,2.5,3.6,6.1,4.3,1.3,0.6,1.9,2.6,12.1
Enes Kanter\kanteen01,C,28,POR,38,26,26.4,5.1,8.6,.591,0.0,0.0,,5.1,8.6,.591,.591,1.8,2.4,.758,4.2,7.6,11.8,1.2,0.5,0.7,1.2,2.7,12.0
James Wiseman\wisemja01,C,19,GSW,28,17,20.6,5.0,9.5,.528,0.4,1.0,.379,4.6,8.4,.547,.549,1.6,2.6,.616,1.4,4.5,5.9,0.6,0.3,1.0,1.5,3.1,12.0
Darius Bazley\bazleda01,PF,20,OKC,36,36,30.7,4.4,11.2,.392,1.5,5.2,.290,2.9,6.0,.479,.459,1.6,2.3,.704,0.6,6.9,7.5,1.5,0.5,0.6,1.8,0.9,11.9
Hamidou Diallo\diallha01,SG,22,OKC,32,5,23.8,4.5,9.3,.481,0.4,1.3,.293,4.1,8.0,.512,.502,2.6,4.1,.629,1.2,4.0,5.2,2.4,1.0,0.4,1.5,2.6,11.9
Eric Bledsoe\bledser01,SG,31,NOP,38,37,29.1,4.3,10.0,.426,1.8,4.9,.373,2.4,5.1,.477,.517,1.5,2.2,.683,0.4,3.0,3.4,3.9,0.7,0.3,1.6,1.6,11.8
Kyle Kuzma\kuzmaky01,SF,25,LAL,37,11,26.0,4.6,10.4,.444,1.8,5.0,.370,2.8,5.4,.513,.533,0.8,1.2,.659,2.1,4.7,6.8,1.1,0.4,0.6,1.5,1.7,11.8
Marcus Morris\morrima03,PF,31,LAC,30,2,24.2,4.1,9.5,.434,2.2,4.9,.459,1.9,4.7,.407,.551,1.3,1.5,.886,0.7,3.0,3.7,1.0,0.5,0.3,0.9,1.8,11.8
Naz Reid\reidna01,C,21,MIN,37,13,20.4,4.6,8.9,.523,0.9,2.6,.337,3.8,6.2,.602,.573,1.6,2.2,.699,1.2,3.5,4.7,1.2,0.6,1.2,1.0,3.0,11.8
